IVV: iShares Core S&P 500 ETF
Inception Date: 2000-05-15
Fund Holdings as of: 2026-01-16
Total Assets Under Management (in thousands):	766197000
Shares Outstanding: 1102350000
Expense Ratio: 0.03%
Tracks This Index: S&P 500 Index
ETF Database Category: Large Cap Growth Equities
"Issuer: BlackRock, Inc."
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IVV


Holding,Symbol,Weighting
"Verisk Analytics, Inc.",VRSK,0.0517%
"Raymond James Financial, Inc.",RJF,0.051%
Ulta Beauty Inc.,ULTA,0.0502%
Mettler-Toledo International Inc.,MTD,0.0502%
Hershey Company,HSY,0.0493%
"NRG Energy, Inc.",NRG,0.0491%
Synchrony Financial,SYF,0.0486%
Cboe Global Markets Inc,CBOE,0.0482%
Dover Corporation,DOV,0.0477%
"Iron Mountain, Inc.",IRM,0.0477%
Huntington Bancshares Incorporated,HBAN,0.0477%
Hewlett Packard Enterprise Co.,HPE,0.0476%
Estee Lauder Companies Inc. Class A,EL,0.0476%
"Diamondback Energy, Inc.",FANG,0.0474%
Ameren Corporation,AEE,0.0473%
DTE Energy Company,DTE,0.0473%
"CoStar Group, Inc.",CSGP,0.0466%
Northern Trust Corporation,NTRS,0.0464%
Halliburton Company,HAL,0.0462%
Atmos Energy Corporation,ATO,0.0461%
Teledyne Technologies Incorporated,TDY,0.046%
PPL Corporation,PPL,0.0459%
"DexCom, Inc.",DXCM,0.0457%
Tractor Supply Company,TSCO,0.0454%
Jabil Inc.,JBL,0.0452%
Equifax Inc.,EFX,0.0452%
"Tapestry, Inc.",TPR,0.045%
"Dollar Tree, Inc.",DLTR,0.0447%
STERIS plc,STE,0.0444%
Eversource Energy,ES,0.0443%
"Citizens Financial Group, Inc.",CFG,0.044%
"First Solar, Inc.",FSLR,0.044%
Hubbell Incorporated,HUBB,0.0438%
"American Water Works Company, Inc.",AWK,0.0438%
"CenterPoint Energy, Inc.",CNP,0.0437%
"Williams-Sonoma, Inc.",WSM,0.0434%
"AvalonBay Communities, Inc.",AVB,0.0434%
Lennar Corporation Class A,LEN,0.0431%
"Broadridge Financial Solutions, Inc.",BR,0.043%
Omnicom Group Inc,OMC,0.0429%
Veralto Corporation,VLTO,0.0429%
Cincinnati Financial Corporation,CINF,0.0427%
"PulteGroup, Inc.",PHM,0.0427%
"Darden Restaurants, Inc.",DRI,0.042%
"Leidos Holdings, Inc.",LDOS,0.0419%
"PPG Industries, Inc.",PPG,0.0416%
FirstEnergy Corp.,FE,0.0414%
Regions Financial Corporation,RF,0.041%
ON Semiconductor Corporation,ON,0.0409%
Biogen Inc.,BIIB,0.0406%
Edison International,EIX,0.0404%
"Steel Dynamics, Inc.",STLD,0.0401%
"General Mills, Inc.",GIS,0.04%
Expand Energy Corporation,EXE,0.04%
"Brown & Brown, Inc.",BRO,0.0396%
"T. Rowe Price Group, Inc.",TROW,0.0391%
Waters Corporation,WAT,0.0388%
International Paper Company,IP,0.0385%
"Live Nation Entertainment, Inc.",LYV,0.0383%
Devon Energy Corporation,DVN,0.0382%
"Corpay, Inc.",CPAY,0.0378%
Labcorp Holdings Inc.,LH,0.0378%
Smurfit Westrock PLC,SWR,0.0375%
Southwest Airlines Co.,LUV,0.0375%
"Constellation Brands, Inc. Class A",STZ,0.0372%
lululemon athletica inc.,LULU,0.0367%
CMS Energy Corporation,CMS,0.0367%
"Church & Dwight Co., Inc.",CHD,0.0366%
"Expeditors International of Washington, Inc.",EXPD,0.0366%
Equity Residential,EQR,0.0362%
"NVR, Inc.",NVR,0.0361%
Centene Corporation,CNC,0.0359%
Quest Diagnostics Incorporated,DGX,0.0355%
NiSource Inc,NI,0.0353%
"NetApp, Inc.",NTAP,0.035%
"VeriSign, Inc.",VRSN,0.035%
"C.H. Robinson Worldwide, Inc.",CHRW,0.0349%
SBA Communications Corp. Class A,SBAC,0.0348%
"Qnity Electronics, Inc.",Q,0.0343%
W. R. Berkley Corporation,WRB,0.0342%
Insulet Corporation,PODD,0.0341%
Kraft Heinz Company,KHC,0.0338%
PTC Inc.,PTC,0.0336%
Packaging Corporation of America,PKG,0.0333%
KeyCorp,KEY,0.0331%
"Dow, Inc.",DOW,0.033%
Coterra Energy Inc.,CTRA,0.033%
Weyerhaeuser Company,WY,0.0329%
Texas Pacific Land Corporation,TPL,0.0329%
Albemarle Corporation,ALB,0.0323%
Genuine Parts Company,GPC,0.0321%
HP Inc.,HPQ,0.0321%
Amcor PLC,AMCR,0.032%
"Tyler Technologies, Inc.",TYL,0.0319%
Snap-on Incorporated,SNA,0.0316%
"West Pharmaceutical Services, Inc.",WST,0.0314%
"Rollins, Inc.",ROL,0.031%
International Flavors & Fragrances Inc.,IFF,0.0309%
Las Vegas Sands Corp.,LVS,0.0302%
"DuPont de Nemours, Inc.",DD,0.0302%
"Principal Financial Group, Inc.",PFG,0.0298%
Trimble Inc.,TRMB,0.0296%
Pentair plc,PNR,0.0296%
"Evergy, Inc.",EVRG,0.0296%
Incyte Corporation,INCY,0.0295%
Fortive Corp.,FTV,0.0294%
Global Payments Inc.,GPN,0.0294%
Loews Corporation,L,0.0293%
"Zimmer Biomet Holdings, Inc.",ZBH,0.0291%
Alliant Energy Corporation,LNT,0.0291%
CDW Corporation,CDW,0.0289%
"McCormick & Company, Incorporated",MKC,0.0286%
Aptiv PLC,APTV,0.0286%
"Tyson Foods, Inc. Class A",TSN,0.0286%
Lennox International Inc.,LII,0.0283%
Jacobs Solutions Inc.,J,0.0282%
"Hologic, Inc.",HOLX,0.0281%
"Charter Communications, Inc. Class A",CHTR,0.0281%
"Huntington Ingalls Industries, Inc.",HII,0.0281%
Textron Inc.,TXT,0.028%
"Gartner, Inc.",IT,0.028%
"Essex Property Trust, Inc.",ESS,0.028%
"Cooper Companies, Inc.",COO,0.0276%
"Super Micro Computer, Inc.",SMCI,0.0275%
"Mid-America Apartment Communities, Inc.",MAA,0.027%
"Invitation Homes, Inc.",INVH,0.0263%
"Trade Desk, Inc. Class A",TTD,0.0263%
"F5, Inc.",FFIV,0.026%
"J.B. Hunt Transport Services, Inc.",JBHT,0.0259%
Fox Corporation Class A,FOXA,0.0253%
Ball Corporation,BALL,0.0253%
"Viatris, Inc.",VTRS,0.0249%
IDEX Corporation,IEX,0.0248%
Deckers Outdoor Corporation,DECK,0.0247%
Avery Dennison Corporation,AVY,0.0246%
Bunge Global SA,BG,0.0246%
Gen Digital Inc.,GEN,0.0246%
Masco Corporation,MAS,0.0246%
"Moderna, Inc.",MRNA,0.0245%
Nordson Corporation,NDSN,0.0245%
Kimco Realty Corporation,KIM,0.024%
"GoDaddy, Inc. Class A",GDDY,0.0238%
Allegion Public Limited Company,ALLE,0.0238%
Ralph Lauren Corporation Class A,RL,0.0237%
"Builders FirstSource, Inc.",BLDR,0.0236%
"Jack Henry & Associates, Inc.",JKHY,0.0232%
"CF Industries Holdings, Inc.",CF,0.0228%
Clorox Company,CLX,0.0227%
"TKO Group Holdings, Inc. Class A",TKO,0.0227%
"Everest Group, Ltd.",EG,0.0226%
"Akamai Technologies, Inc.",AKAM,0.0226%
"Best Buy Co., Inc.",BBY,0.0223%
"Stanley Black & Decker, Inc.",SWK,0.0221%
Invesco Ltd.,IVZ,0.0221%
LyondellBasell Industries NV,LYB,0.022%
"Revvity, Inc.",RVTY,0.0215%
Zebra Technologies Corporation Class A,ZBRA,0.0214%
"Domino\'s Pizza, Inc.",DPZ,0.021%
"Healthpeak Properties, Inc.",DOC,0.0209%
"Host Hotels & Resorts, Inc.",HST,0.02%
"EPAM Systems, Inc.",EPAM,0.0198%
Regency Centers Corporation,REG,0.0198%
Camden Property Trust,CPT,0.0197%
Solventum Corporation,SOLV,0.0197%
"Assurant, Inc.",AIZ,0.0197%
"Align Technology, Inc.",ALGN,0.0193%
"Hasbro, Inc.",HAS,0.0193%
"UDR, Inc.",UDR,0.0191%
Pinnacle West Capital Corp,PNW,0.0188%
"Dayforce, Inc.",DAY,0.0186%
"Universal Health Services, Inc. Class B",UHS,0.0186%
Globe Life Inc.,GL,0.0186%
J.M. Smucker Company,SJM,0.0183%
FactSet Research Systems Inc.,FDS,0.0182%
"Charles River Laboratories International, Inc.",CRL,0.0182%
Bio-Techne Corporation,TECH,0.0181%
Baxter International Inc.,BAX,0.0174%
